Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Condition_Exp
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,40,2,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,30,4,1,gustar,541858,94346,59408,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,35,7,1,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,G,Regular stative with entre
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,25,9,1,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,E,Regular stative with durante
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,39,12,0,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,29,14,1,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,34,17,1,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,G,Regular stative with entre
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,24,19,1,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,38,22,1,gustar,541858,94346,59408,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,28,24,1,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,33,27,1,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,G,Regular stative with entre
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,23,29,1,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,36,32,1,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,27,34,1,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,32,37,0,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,G,Regular stative with entre
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,22,39,1,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,37,42,1,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,26,44,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,31,47,0,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,G,Regular stative with entre
HSP08,36,Female,Heritage,Sequential,25,0,5,5,37,4,41,13,11,A,21,49,1,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,E,Regular stative with durante
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,40,2,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,30,4,1,gustar,541858,94346,59408,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,35,7,1,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,G,Regular stative with entre
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,25,9,0,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,E,Regular stative with durante
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,39,12,0,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,29,14,1,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,34,17,1,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,G,Regular stative with entre
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,24,19,1,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,38,22,1,gustar,541858,94346,59408,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,28,24,1,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP10,28,Female,Heritage,Sequential,31,0,4,0,30,1,43,16,16,A,33,27,1,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,G,Regular stative with entre
