Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Response,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
SBC14,22,Female,Comparison,Comparison,43,4,0,12,33,40,10,48,Advanced,Native Range,18,18,A,5C,10,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Comparación,Receptiva,36,NA,-0.21317139451336947,0.05068550558531012,-0.4601227306301234,-0.4667627545867302,0.7219249203430864,1.585364136799683,NA,NA,0.9331662457538138,1.0039315022015936
SBC14,22,Female,Comparison,Comparison,43,4,0,12,33,40,10,48,Advanced,Native Range,18,18,A,7C,35,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Frequent,NA,B,[+F/–F],Comparación,Receptiva,36,NA,-0.21317139451336947,0.05068550558531012,-0.4601227306301234,-0.4667627545867302,0.7219249203430864,1.585364136799683,NA,NA,-1.1560737970131367,1.0039315022015936
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,B,7C,16,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Frequent,NA,B,[+F/–F],Comparación,Receptiva,41,NA,0.5925157658521228,0.5253985335062608,0.43828639765106736,-0.8378536402209009,-1.021591868410028,1.585364136799683,NA,NA,-1.1560737970131367,-1.2795754129106027
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,B,5C,41,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Comparación,Receptiva,41,NA,0.5925157658521228,0.5253985335062608,0.43828639765106736,-0.8378536402209009,-1.021591868410028,1.585364136799683,NA,NA,0.9331662457538138,-1.2795754129106027
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,B,7C,16,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Frequent,NA,B,[+F/–F],Comparación,Receptiva,41,NA,0.5925157658521228,0.5253985335062608,0.43828639765106736,-0.8378536402209009,-1.021591868410028,1.585364136799683,NA,NA,-1.1560737970131367,-1.2795754129106027
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,B,5C,41,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Comparación,Receptiva,41,NA,0.5925157658521228,0.5253985335062608,0.43828639765106736,-0.8378536402209009,-1.021591868410028,1.585364136799683,NA,NA,0.9331662457538138,-1.2795754129106027
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,9C,15,1,#04: necesitar,593469,NA,NA,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,B,[+F/–F],Comparación,Receptiva,42,NA,0.7536531979252213,0.7627550474667361,0.43828639765106736,0.275419016681611,-0.14983347403347078,-0.052848742829389124,NA,NA,0.9331662457538138,0.0636639489201009
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,3C,21,0,#04: necesitar,593469,NA,NA,Regular,Canonical,#04: tratar,590952,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Comparación,Receptiva,42,NA,0.7536531979252213,0.7627550474667361,0.43828639765106736,0.275419016681611,-0.14983347403347078,-0.052848742829389124,NA,NA,0.44450784367049595,0.0636639489201009
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,9C,36,0,#04: necesitar,593469,NA,NA,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,B,[+F/–F],Comparación,Receptiva,42,NA,0.7536531979252213,0.7627550474667361,0.43828639765106736,0.275419016681611,-0.14983347403347078,-0.052848742829389124,NA,NA,0.9331662457538138,0.0636639489201009
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,3C,21,1,#04: necesitar,593469,NA,NA,Regular,Canonical,#04: tratar,590952,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Comparación,Receptiva,42,NA,0.7536531979252213,0.7627550474667361,0.43828639765106736,-1.3017172472636143,0.7219249203430864,-0.052848742829389124,NA,NA,0.44450784367049595,-0.47363179581218057
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,9C,36,1,#04: necesitar,593469,NA,NA,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,B,[+F/–F],Comparación,Receptiva,42,NA,0.7536531979252213,0.7627550474667361,0.43828639765106736,-1.3017172472636143,0.7219249203430864,-0.052848742829389124,NA,NA,0.9331662457538138,-0.47363179581218057
