Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,Token_Main_Lemma_Std,Token_Sub_Std,LOR_Std,DELE_Std
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,19,13,1,valorar,113028,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,D,[–F/–F],02,42,0.6930874030240756,-0.828062693595593,-0.8647320938228309,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,9,15,1,necesitar,593469,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,B,[+F/–F],02,42,0.6930874030240756,0.1544414141911121,-0.8647320938228309,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,14,18,1,ordenar,65158,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,C,[–F/+F],02,42,0.6930874030240756,-0.9259570690542853,0.627744689399056,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,4,20,1,querer,1263949,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,A,[+F/+F],02,42,0.6930874030240756,1.5255761720257477,0.627744689399056,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,18,23,1,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F],02,42,0.6930874030240756,-0.7548944700832356,-0.9961448898460377,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,8,25,1,permitir,935997,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,B,[+F/–F],02,42,0.6930874030240756,0.8549127874335384,-0.8519867089026583,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,13,28,1,valorar,113028,NA,NA,1,Canonical,quedar,947469,Mood,Subjunctive,C,[–F/+F],02,42,0.6930874030240756,-0.828062693595593,1.6564851004439285,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,3,30,1,permitir,935997,NA,NA,0,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F],02,42,0.6930874030240756,0.8549127874335384,1.134360033709592,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,17,33,1,conseguir,129144,NA,NA,0,Canonical,atar,15876,Mood,Subjunctive,D,[–F/–F],02,42,0.6930874030240756,-0.7951053976922656,-1.03165421898972,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,7,35,1,pedir,432187,NA,NA,0,Canonical,bailar,29935,Mood,Subjunctive,B,[+F/–F],02,42,0.6930874030240756,-0.1753810354167594,-0.9910865561885636,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,12,38,1,sugerir,88224,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,C,[–F/+F],02,42,0.6930874030240756,-0.8787869904177656,0.9323614088620102,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,2,40,1,pedir,432187,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,A,[+F/+F],02,42,0.6930874030240756,-0.1753810354167594,1.6564851004439285,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,16,43,1,sugerir,88224,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F],02,42,0.6930874030240756,-0.8787869904177656,-0.8519867089026583,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,6,45,1,querer,1263949,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,B,[+F/–F],02,42,0.6930874030240756,1.5255761720257477,-0.9961448898460377,0,0.4889829016181076
