Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,LF_Std,LOR_Std,DELE_Std
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,38,30,0,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,14,-0.9452296004356529,-0.6082718179224809,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,24,32,0,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,14,-0.9452296004356529,-0.6070987514624232,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,34,35,0,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,14,-0.9452296004356529,-0.5924565318383682,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,29,37,1,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,14,-0.9452296004356529,1.297974405919307,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,39,40,0,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,14,-0.9452296004356529,1.8445826801584029,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,25,42,1,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,14,-0.9452296004356529,-0.6984402377742357,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,35,45,1,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,14,-0.9452296004356529,-0.7272111425074158,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,30,47,0,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,14,-0.9452296004356529,-0.6082718179224809,-0.5753969085652074,-0.5669868346069586
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,40,50,1,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,14,-0.9452296004356529,1.2082676329940492,-0.5753969085652074,-0.5669868346069586
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,40,2,0,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,30,0.4126469862348285,1.2082676329940492,-0.4501686488534494,1.2467773326435745
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,30,4,0,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,30,0.4126469862348285,-0.6082718179224809,-0.4501686488534494,1.2467773326435745
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,35,7,1,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,30,0.4126469862348285,-0.7272111425074158,-0.4501686488534494,1.2467773326435745
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,25,9,1,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,30,0.4126469862348285,-0.6984402377742357,-0.4501686488534494,1.2467773326435745
