Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,LF_Std,TF_Std,LOR_Std,DELE_Std
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,35,7,1,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,30,0.40577406768070035,-0.7400399800176173,0.9971819851034218,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,25,9,1,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,30,0.40577406768070035,-0.7112319367068807,0.9971819851034218,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,39,12,1,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,30,0.40577406768070035,1.8350736118813393,-1.0016941207826227,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,29,14,0,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,30,0.40577406768070035,1.287759754902521,-1.0016941207826227,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,34,17,0,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,30,0.40577406768070035,-0.6051114229744164,0.9971819851034218,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,24,19,0,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,30,0.40577406768070035,-0.6197725433321867,0.9971819851034218,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,38,22,0,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,30,0.40577406768070035,-0.6209471240310251,-1.0016941207826227,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,28,24,0,excluir,53412,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,30,0.40577406768070035,-0.7441696040487679,-1.0016941207826227,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,33,27,0,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,30,0.40577406768070035,-0.7112319367068807,0.9971819851034218,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,23,29,1,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,30,0.40577406768070035,-0.6051114229744164,0.9971819851034218,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,37,32,1,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,30,0.40577406768070035,1.287759754902521,-1.0016941207826227,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,27,34,0,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,30,0.40577406768070035,1.8350736118813393,-1.0016941207826227,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,32,37,0,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,30,0.40577406768070035,-0.7373365597838423,0.9971819851034218,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,22,39,0,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,30,0.40577406768070035,-0.7373365597838423,0.9971819851034218,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,36,42,1,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,30,0.40577406768070035,1.287759754902521,-1.0016941207826227,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,26,44,0,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,30,0.40577406768070035,1.197937185064565,-1.0016941207826227,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,31,47,0,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,30,0.40577406768070035,-0.6197725433321867,0.9971819851034218,-0.4533937850871034,1.2411279970749702
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,21,49,0,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,30,0.40577406768070035,-0.7400399800176173,0.9971819851034218,-0.4533937850871034,1.2411279970749702
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,40,2,1,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,20,-0.44134144590341984,1.197937185064565,-1.0016941207826227,-0.5782582724365801,-0.1614732853337334
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,30,4,1,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,20,-0.44134144590341984,-0.6209471240310251,-1.0016941207826227,-0.5782582724365801,-0.1614732853337334
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,35,7,1,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,20,-0.44134144590341984,-0.7400399800176173,0.9971819851034218,-0.5782582724365801,-0.1614732853337334
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,25,9,1,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,20,-0.44134144590341984,-0.7112319367068807,0.9971819851034218,-0.5782582724365801,-0.1614732853337334
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,39,12,1,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,20,-0.44134144590341984,1.8350736118813393,-1.0016941207826227,-0.5782582724365801,-0.1614732853337334
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,29,14,0,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,20,-0.44134144590341984,1.287759754902521,-1.0016941207826227,-0.5782582724365801,-0.1614732853337334
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,34,17,1,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,20,-0.44134144590341984,-0.6051114229744164,0.9971819851034218,-0.5782582724365801,-0.1614732853337334
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,24,19,1,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,20,-0.44134144590341984,-0.6197725433321867,0.9971819851034218,-0.5782582724365801,-0.1614732853337334
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,38,22,0,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,20,-0.44134144590341984,-0.6209471240310251,-1.0016941207826227,-0.5782582724365801,-0.1614732853337334
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,28,24,1,excluir,53412,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,20,-0.44134144590341984,-0.7441696040487679,-1.0016941207826227,-0.5782582724365801,-0.1614732853337334
