Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,LF,FofA_Std,LF_Main_Std,LF_Sub_Std,LF_Std,LOR_Std,DELE_Std
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,7,16,1,esperar,1409514,Regular,Canonical,NA,atar,15876,Mood,Subjunctive,B,[+F/–F],2,30,1425390,0.41922059260944905,1.8172548737404404,-0.9277496090516254,0.7381480025808682,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,17,18,1,conseguir,129144,Irregular,Canonical,NA,robar,28182,Mood,Subjunctive,D,[–F/–F],2,30,157326,0.41922059260944905,-0.7987027274425219,-0.8925712755756801,-0.9188012246724612,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,3,21,1,necesitar,593469,Regular,Canonical,NA,tratar,590952,Mood,Subjunctive,A,[+F/+F],2,30,1184421,0.41922059260944905,0.14997188471590023,0.716181424754058,0.4232795114463454,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,13,23,1,valorar,113028,Regular,Canonical,NA,bailar,29935,Mood,Subjunctive,C,[–F/+F],2,30,142963,0.41922059260944905,-0.831629750647271,-0.8875600925281153,-0.9375690169534814,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,8,26,1,permitir,935997,Irregular,Canonical,NA,quedar,947469,Mood,Subjunctive,B,[+F/–F],2,30,1883466,0.41922059260944905,0.8497998447727569,1.7353325636979553,1.3367050740088846,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,18,28,1,sugerir,88224,Irregular,Canonical,NA,atar,15876,Mood,Subjunctive,D,[–F/–F],2,30,104100,0.41922059260944905,-0.8823074550137762,-0.9277496090516254,-0.9883503795808772,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,4,31,1,querer,1263949,Irregular,Canonical,NA,quedar,947469,Mood,Subjunctive,A,[+F/+F],2,30,2211418,0.41922059260944905,1.5198471961033526,1.7353325636979553,1.7652321932837667,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,14,33,1,conseguir,129144,Irregular,Canonical,NA,viajar,78141,Mood,Subjunctive,C,[–F/+F],2,30,207285,0.41922059260944905,-0.7987027274425219,-0.7497568466690692,-0.8535209813690088,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,9,36,1,necesitar,593469,Regular,Canonical,NA,enviar,766523,Mood,Subjunctive,B,[+F/–F],2,30,1359992,0.41922059260944905,0.14997188471590023,1.2180744189605588,0.6526939832538364,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,19,38,1,ordenar,65158,Regular,Canonical,NA,prestar,73724,Mood,Subjunctive,D,[–F/–F],2,30,138882,0.41922059260944905,-0.9294342058974162,-0.7623834271146446,-0.9429015630997492,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,5,41,1,esperar,1409514,Regular,Canonical,NA,enviar,766523,Mood,Subjunctive,A,[+F/+F],2,30,2176037,0.41922059260944905,1.8172548737404404,1.2180744189605588,1.719000677674578,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,15,43,1,desear,148807,Regular,Canonical,NA,robar,28182,Mood,Subjunctive,C,[–F/+F],2,30,176989,0.41922059260944905,-0.7585287353058265,-0.8925712755756801,-0.8931080477858985,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,10,46,1,pedir,432187,Irregular,Canonical,NA,tratar,590952,Mood,Subjunctive,B,[+F/–F],2,30,1023139,0.41922059260944905,-0.17954760873832823,0.716181424754058,0.2125361378706651,-0.446738223084564,1.2518058938121626
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,20,48,1,valorar,113028,Regular,Canonical,NA,viajar,78141,Mood,Subjunctive,D,[–F/–F],2,30,191169,0.41922059260944905,-0.831629750647271,-0.7497568466690692,-0.8745793772752206,-0.446738223084564,1.2518058938121626
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,1,1,1,permitir,935997,Irregular,Canonical,NA,tomar,506707,Mood,Subjunctive,A,[+F/+F],2,20,1442704,-0.43055087889619087,0.8497998447727569,0.4753559165726006,0.7607717967432008,-0.5722600679437538,-0.13566369292545552
